entity:sample_id	channel_model	code_length	n_types	min_hamming_weight	max_hamming_weight	metric_type	source_nonuniformity	lowest_energy_sa	rand_state_energy_loc	rand_state_energy_scale	i_iter	i_cycle	lowest_energy_var
channel_bac_merfish__9__2__7__32__10__20__fdr	channel_bac_merfish	9	32	2	7	fdr	10.0	0.1478344351053238	0.270284354686737	0.0141274249181151	241629	24	0.18680262565612793
channel_bac_merfish__9__2__7__64__1000__20__fdr	channel_bac_merfish	9	64	2	7	fdr	1000.0	0.3348844051361084	0.5203426480293274	0.0128077520057559	251573	25	0.3709472417831421
channel_bac_merfish__9__2__7__64__100__20__fdr	channel_bac_merfish	9	64	2	7	fdr	100.0	0.3016718029975891	0.4451904892921448	0.0115962522104382	246546	25	0.33797645568847656
channel_bac_merfish__9__2__7__64__10__20__fdr	channel_bac_merfish	9	64	2	7	fdr	10.0	0.2776433825492859	0.3837972283363342	0.0090409750118851	246152	25	0.3114593029022217
sa_bac__second_wave__channel_bac_merfish__10__1__9__128__1000__10__fdr	channel_bac_merfish	10	128	1	9	fdr	1000.0	0.3866921067237854	0.5652902722358704	0.0080251712352037	259731	53	0.4198561906814575
sa_bac__second_wave__channel_bac_merfish__10__1__9__128__100__10__fdr	channel_bac_merfish	10	128	1	9	fdr	100.0	0.357202798128128	0.493687242269516	0.0074356673285365	259607	53	0.39182090759277344
sa_bac__second_wave__channel_bac_merfish__10__1__9__128__10__10__fdr	channel_bac_merfish	10	128	1	9	fdr	10.0	0.3367746472358703	0.433206170797348	0.0059260572306811	259342	53	0.3756885528564453
sa_bac__second_wave__channel_bac_merfish__10__1__9__16__1000__10__fdr	channel_bac_merfish	10	16	1	9	fdr	1000.0	0.0803675204515457	0.2317343801259994	0.0320765078067779	403717	53	0.11516892910003662
sa_bac__second_wave__channel_bac_merfish__10__1__9__16__100__10__fdr	channel_bac_merfish	10	16	1	9	fdr	100.0	0.0654402077198028	0.1733544319868087	0.0248852036893367	340275	53	0.08287781476974487
sa_bac__second_wave__channel_bac_merfish__10__1__9__16__10__10__fdr	channel_bac_merfish	10	16	1	9	fdr	10.0	0.0550742968916893	0.1360697001218795	0.0181974321603775	182278	36	0.0674559473991394
sa_bac__second_wave__channel_bac_merfish__10__1__9__256__1000__10__fdr	channel_bac_merfish	10	256	1	9	fdr	1000.0	0.5015079379081726	0.6718323230743408	0.0043589090928435	257859	53	0.5571104884147644
sa_bac__second_wave__channel_bac_merfish__10__1__9__256__100__10__fdr	channel_bac_merfish	10	256	1	9	fdr	100.0	0.4757492542266845	0.6120143532752991	0.0041347155347466	256227	53	0.5239522457122803
sa_bac__second_wave__channel_bac_merfish__10__1__9__256__10__10__fdr	channel_bac_merfish	10	256	1	9	fdr	10.0	0.4616784751415252	0.552617073059082	0.0033901177812367	255371	53	0.5043434500694275
sa_bac__second_wave__channel_bac_merfish__10__1__9__32__1000__10__fdr	channel_bac_merfish	10	32	1	9	fdr	1000.0	0.1531392037868499	0.3332687318325043	0.0218802616000175	580167	53	0.183521568775177
sa_bac__second_wave__channel_bac_merfish__10__1__9__32__100__10__fdr	channel_bac_merfish	10	32	1	9	fdr	100.0	0.1300515979528427	0.2638635039329529	0.017953522503376	335716	53	0.160308837890625
