entity:sample_id	channel_model	code_length	n_types	min_hamming_weight	max_hamming_weight	metric_type	source_nonuniformity	lowest_energy_sa	rand_state_energy_loc	rand_state_energy_scale	i_iter	i_cycle
sa_bac__second_wave__channel_bac_merfish__10__2__8__16__10__10__fdr	channel_bac_merfish	10	16	2	8	fdr	10.0	0.05526656657457352	0.13639840483665466	0.01827993616461754	356794	51
sa_bac__second_wave__channel_bac_merfish__10__2__8__256__1000__10__fdr	channel_bac_merfish	10	256	2	8	fdr	1000.0	0.501157283782959	0.6720335483551025	0.0043296124786138535	257917	53
sa_bac__second_wave__channel_bac_merfish__10__2__8__256__100__10__fdr	channel_bac_merfish	10	256	2	8	fdr	100.0	0.47617214918136597	0.612351655960083	0.004119741264730692	256392	53
sa_bac__second_wave__channel_bac_merfish__10__2__8__256__10__10__fdr	channel_bac_merfish	10	256	2	8	fdr	10.0	0.4614754915237427	0.5531241297721863	0.003387248842045665	254373	53
sa_bac__second_wave__channel_bac_merfish__10__2__8__32__1000__10__fdr	channel_bac_merfish	10	32	2	8	fdr	1000.0	0.1529703587293625	0.3335910737514496	0.021897273138165474	385581	53
sa_bac__second_wave__channel_bac_merfish__10__2__8__32__100__10__fdr	channel_bac_merfish	10	32	2	8	fdr	100.0	0.12952494621276855	0.2641206979751587	0.017977861687541008	286457	53
sa_bac__second_wave__channel_bac_merfish__10__2__8__32__10__10__fdr	channel_bac_merfish	10	32	2	8	fdr	10.0	0.10703328251838684	0.2168276160955429	0.013673181645572186	237221	48
sa_bac__second_wave__channel_bac_merfish__10__2__8__64__1000__10__fdr	channel_bac_merfish	10	64	2	8	fdr	1000.0	0.2596254348754883	0.448897123336792	0.013763269409537315	364083	53
sa_bac__second_wave__channel_bac_merfish__10__2__8__64__100__10__fdr	channel_bac_merfish	10	64	2	8	fdr	100.0	0.22515830397605896	0.3741408586502075	0.012004125863313675	358547	53
sa_bac__second_wave__channel_bac_merfish__10__2__8__64__10__10__fdr	channel_bac_merfish	10	64	2	8	fdr	10.0	0.20309171080589294	0.3180435597896576	0.009385318495333195	265035	53
